Item,Spec,Qty,UnitPrice_GBP,Total_GBP,Supplier,Section
"Door seal (rubber strip, self-adhesive)","5m roll, P-profile EPDM",1,£4.50,£4.50,Screwfix,1. Enclosure Seals & Mechanical
Duct entry grommets (100mm),Rubber wall grommet,2,£3.00,£6.00,Screwfix,1. Enclosure Seals & Mechanical
Aluminium foil tape (PIR joint sealing),50mm × 45m,2,£5.00,£10.00,Wickes,1. Enclosure Seals & Mechanical
Waterproof cable glands (IP68),PG9/PG11 mixed pack,1,£6.00,£6.00,Amazon UK,1. Enclosure Seals & Mechanical
Silicone sealant (mould-resistant),"300ml tube, bathroom-grade",1,£5.00,£5.00,Screwfix,1. Enclosure Seals & Mechanical
DHT22 / AM2302 sensor module,"±0.5°C, ±2% RH, digital",1,£5.50,£5.50,Amazon UK,2. Sensors
Waterproof DS18B20 probe (backup),"Stainless steel, 1m cable",1,£3.50,£3.50,Amazon UK,2. Sensors
SCD40/SCD41 CO₂ sensor module,"400–2000 ppm, I2C, +temp/RH",1,£15.00,£15.00,Amazon UK,2. Sensors
BH1750 light sensor module,"Lux meter, I2C",1,£3.00,£3.00,Amazon UK,2. Sensors
Soil/substrate moisture sensor,Capacitive (not resistive),2,£3.00,£6.00,Amazon UK,2. Sensors
Inkbird IHC-200 humidity controller,"Plug-in, relay output, probe included",1,£28.00,£28.00,Amazon UK,3. Controller + PSU + Wiring
Inkbird ITC-308 temperature controller,"Plug-in, heating+cooling outputs",1,£28.00,£28.00,Amazon UK,3. Controller + PSU + Wiring
"Timer switch (mechanical, 24hr)",For fan scheduling,1,£5.00,£5.00,Screwfix,3. Controller + PSU + Wiring
"Extension lead (4-gang, surge protected)","2m, individual switches",1,£12.00,£12.00,Screwfix,3. Controller + PSU + Wiring
ESP32 development board (e.g. WROOM-32),"WiFi + BLE, 38-pin",1,£7.00,£7.00,Amazon UK,3. Controller + PSU + Wiring
"4-channel relay module (5V, opto-isolated)","For switching fans, humidifier, heater",1,£5.50,£5.50,Amazon UK,3. Controller + PSU + Wiring
12V 5A DC PSU (switching),Powers fans + LED strips,1,£8.00,£8.00,Amazon UK,3. Controller + PSU + Wiring
5V 2A USB PSU (for ESP32),Micro-USB or USB-C,1,£4.00,£4.00,Amazon UK,3. Controller + PSU + Wiring
"Wiring kit (assorted hook-up wire, terminals, connectors)",—,1,£8.00,£8.00,Amazon UK,3. Controller + PSU + Wiring
"Junction box (IP65, 4-terminal)",Outdoor rated,1,£4.00,£4.00,Screwfix,3. Controller + PSU + Wiring
"DIN rail + terminal blocks (optional, neater install)",—,1,£10.00,£10.00,Amazon UK,3. Controller + PSU + Wiring
100mm inline duct fan (intake),"~100 m³/hr, 25W",1,£18.00,£18.00,Amazon UK,4. Fan / FAE + Filters
100mm inline duct fan (exhaust),"~100 m³/hr, 25W",1,£18.00,£18.00,Amazon UK,4. Fan / FAE + Filters
100mm aluminium flexible ducting,3m length,2,£6.00,£12.00,Screwfix,4. Fan / FAE + Filters
"100mm wall grille (louvred, external)",Gravity-close flap,2,£5.00,£10.00,Screwfix,4. Fan / FAE + Filters
Intake filter (coarse mesh + fine filter pad),Prevent insects/spores,1,£8.00,£8.00,Amazon UK,4. Fan / FAE + Filters
"HEPA filter (optional, for intake in mushroom fruiting)",Inline 100mm HEPA capsule,1,£15.00,£15.00,Amazon UK,4. Fan / FAE + Filters
"Duct clamps (100mm, jubilee style)",—,4,£1.50,£6.00,Screwfix,4. Fan / FAE + Filters
**Budget:** Ultrasonic disc fogger (single disc),"400ml/hr output, 24V",1,£12.00,£12.00,Amazon UK,5. Humidifier + Optional Heater
**Better:** 4–6L ultrasonic humidifier (top-fill),"300ml/hr, auto-shutoff",1,£25.00,£25.00,Amazon UK,5. Humidifier + Optional Heater
**Best:** Commercial ultrasonic humidifier (13L),"1000ml/hr, humidistat built in",1,£55.00,£55.00,Amazon UK,5. Humidifier + Optional Heater
Humidity controller (if not using Inkbird above),"Plug-in, probe",1,£12.00,£12.00,Amazon UK,5. Humidifier + Optional Heater
Replacement fogger discs (for disc fogger option),Pack of 5,1,£5.00,£5.00,Amazon UK,5. Humidifier + Optional Heater
**Budget:** Tubular greenhouse heater 60W,"1ft, IP55, plug-in",1,£18.00,£18.00,Amazon UK,5. Humidifier + Optional Heater
**Better:** Tubular greenhouse heater 120W,"2ft, IP55, thermostat",1,£25.00,£25.00,Amazon UK,5. Humidifier + Optional Heater
**Best:** Oil-filled radiator 500W,"Portable, thermostat",1,£30.00,£30.00,Amazon UK,5. Humidifier + Optional Heater
Frost-stat thermostat (if heater lacks one),"Plug-in, 0–20°C range",1,£15.00,£15.00,Screwfix,5. Humidifier + Optional Heater
"**Budget:** LED grow light strip (full spectrum, 1m)","USB/12V, ~10W per strip",4,£8.00,£32.00,Amazon UK,6. LEDs (for microgreens) + Optional Watering
**Better:** T8 LED grow tube (4ft/1200mm),"18W, full spectrum, linkable",4,£12.00,£48.00,Amazon UK,6. LEDs (for microgreens) + Optional Watering
**Best:** Samsung LM301B quantum board (120W),"Full spectrum, dimmable, driver included",1,£45.00,£45.00,Amazon UK,6. LEDs (for microgreens) + Optional Watering
"Timer (for light schedule, 16hr on / 8hr off)",24hr mechanical or smart plug,1,£5.00,£5.00,Screwfix,6. LEDs (for microgreens) + Optional Watering
12V mini water pump (peristaltic or diaphragm),1–3 L/min,1,£8.00,£8.00,Amazon UK,6. LEDs (for microgreens) + Optional Watering
Drip irrigation tubing kit (4mm micro-drip),10m + connectors + drippers,1,£10.00,£10.00,Amazon UK,6. LEDs (for microgreens) + Optional Watering
20L water reservoir (food-grade jerry can),—,1,£8.00,£8.00,Amazon UK,6. LEDs (for microgreens) + Optional Watering
Float valve (auto top-up for humidifier reservoir),—,1,£5.00,£5.00,Amazon UK,6. LEDs (for microgreens) + Optional Watering
"Assembly labour (wiring, testing)",,,,,,7. Assembly / Test / Packaging / Shipping / Returns
"QC/testing (run each system, check sensors)",,,,,,7. Assembly / Test / Packaging / Shipping / Returns
"Packaging (box, foam, instructions)",,,,,,7. Assembly / Test / Packaging / Shipping / Returns
"Shipping (UK mainland, parcel)",,,,,,7. Assembly / Test / Packaging / Shipping / Returns
Returns allowance (5% return rate),,,,,,7. Assembly / Test / Packaging / Shipping / Returns
